Region	State	County	Nitrogen	MMI
8	South Dakota	Corson	947	70.74252078
8	South Dakota	Potter	1016	25.69793543
8	South Dakota	Turner	2728	20.66221296
8	South Dakota	Pennington	443	40.26619203
8	South Dakota	Jackson	1735	67.79509818
8	South Dakota	Corson	444	35.68191538
8	South Dakota	Roberts	1748	30.83835336
8	South Dakota	Gregory	1186	25.53108028
8	South Dakota	Butte	581	18.19989892
8	South Dakota	Shannon	783	68.679457
8	South Dakota	Lawrence	144	38.9378089
8	South Dakota	Corson	1034	19.68572119
8	South Dakota	Ziebach	1273	21.41129694
8	South Dakota	Pennington	251	36.93728384
8	South Dakota	Meade	246	72.2114083
8	South Dakota	Harding	719	24.33742417
8	South Dakota	Brule	1021	21.82554482
8	South Dakota	Brown	3295	40.9002966
8	South Dakota	Turner	1308	8.430003113
8	South Dakota	Meade	353	42.82579119
8	South Dakota	Ziebach	1289	44.59819668
8	South Dakota	Gregory	453	64.85563019
8	South Dakota	Shannon	556	59.44141246
8	South Dakota	Meade	654	63.7813191
8	South Dakota	Corson	1810	35.13563915
8	South Dakota	Lyman	134	11.70406473
8	South Dakota	Gregory	2028	35.93962733
8	South Dakota	Pennington	268	40.53745886
8	South Dakota	Shannon	750	43.52136117
8	South Dakota	Harding	693	54.36685566
8	South Dakota	Perkins	1139	63.92712824
8	South Dakota	Jones	1831	19.68264992
8	South Dakota	Moody	901	56.1362236
8	South Dakota	Fall River	866	27.38415873
8	South Dakota	Todd	613	22.84898942
8	South Dakota	Corson	803	42.5865666
8	South Dakota	Yankton	9481	2.861099908
8	South Dakota	Mellette	799	50.26005912
8	South Dakota	Perkins	1503	23.45666452
8	South Dakota	Fall River	734	16.28843958
8	South Dakota	Todd	1041	65.07680714
8	South Dakota	Meade	415	48.50729033
8	South Dakota	Corson	949	12.57445286
8	Utah	Summit	274	72.83153607
8	Utah	Garfield	1055	54.20500574
8	Utah	Duchesne	225	61.83507724
8	Utah	Morgan	579	23.55937106
8	Utah	Summit	146	65.52113348
8	Utah	Sanpete	316	14.79384023
8	Utah	Grand	131	68.84619296
8	Utah	Garfield	185	31.79412297
8	Utah	Summit	140	62.9072185
8	Utah	Uintah	286	37.11780099
8	Utah	Duchesne	1383	25.57464773
8	Utah	Morgan	433	26.28318277
8	Utah	Kane	219	46.64643503
8	Utah	Kane	103	50.51206316
8	Utah	Duchesne	249	63.96111533
8	Utah	Sanpete	6381	32.28358891
8	Utah	Carbon	541	55.75842666
8	Utah	Cache	129	67.35761128
8	Utah	Iron	191	27.933072
8	Utah	Washington	293	30.12176865
8	Utah	Summit	91	52.21596485
8	Utah	Uintah	181	59.55275762
8	Utah	Salt Lake	391	34.68392973
8	Utah	Sanpete	605	64.75525515
8	Utah	Uintah	313	16.08683037
8	Utah	Grand	179	61.1380369
8	Utah	Grand	915	25.70063554
8	Utah	Sevier	459	51.46745108
8	Utah	Emery	679	37.90778603
8	Utah	Sevier	2784	4.649060818
8	Utah	Morgan	504	31.23572852
8	Utah	Emery	456	59.69831297
8	Utah	Piute	2251	4.266000041
8	Utah	Weber	1478	24.04805334
8	Utah	Washington	811	37.12469935
8	Utah	Summit	505	31.17855124
8	Utah	Utah	123	40.32759337
8	Utah	Garfield	124	15.5820901
8	Utah	Washington	165	30.10521056
8	Utah	Sevier	249	26.03155925
8	Utah	Juab	165	75.20765511
8	Utah	Duchesne	383	68.11833428
8	Utah	Salt Lake	1794	23.57705506
8	Utah	Wayne	963	39.50376715
8	Utah	Box Elder	648	55.33201354
8	Wyoming	Park	115	41.41359457
8	Wyoming	Lincoln	228	17.94898361
8	Wyoming	Big Horn	135	30.315981
8	Wyoming	Sweetwater	173	56.98839114
8	Wyoming	Natrona	270	33.30918331
8	Wyoming	Lincoln	184	34.17679531
8	Wyoming	Carbon	238	77.80683193
8	Wyoming	Lincoln	125	53.63478586
8	Wyoming	Johnson	319	18.25932467
8	Wyoming	Washakie	390	16.09347858
8	Wyoming	Park	65	61.19109942
8	Wyoming	Johnson	424	18.59526483
8	Wyoming	Sheridan	569	32.92918933
8	Wyoming	Park	174	65.77936543
8	Wyoming	Fremont	721	51.36361006
8	Wyoming	Park	39	56.43956844
8	Wyoming	Park	180	54.47530945
8	Wyoming	Fremont	115	47.60536772
8	Wyoming	Park	131	65.69468487
8	Wyoming	Sublette	66	52.48014985
8	Wyoming	Sheridan	98	51.48541531
8	Wyoming	Teton	76	56.72352174
8	Wyoming	Fremont	148	65.68339222
8	Wyoming	Washakie	353	60.64350069
8	Wyoming	Carbon	296	61.26801706
8	Wyoming	Natrona	361	43.23039162
8	Wyoming	Lincoln	50	52.1631633
8	Wyoming	Lincoln	78	32.0494542
8	Wyoming	Park	38	54.10597519
8	Wyoming	Fremont	343	21.02082357
8	Wyoming	Washakie	119	30.78926009
8	Wyoming	Washakie	531	39.0134294
8	Wyoming	Park	95	68.99930406
8	Wyoming	Fremont	691	23.57948375
8	Wyoming	Johnson	296	51.60989788
8	Wyoming	Campbell	18775	28.2760152
8	Wyoming	Park	109	85.46579701
8	Wyoming	Park	125	30.61305304
8	Wyoming	Hot Springs	149	60.8318257
8	Wyoming	Fremont	209	64.89846214
8	Wyoming	Park	115	48.37611706
8	Wyoming	Sweetwater	121	61.81015449
8	Wyoming	Carbon	141	64.58011965
8	Wyoming	Lincoln	113	18.16601357
8	Wyoming	Sublette	79	30.57425325
8	Wyoming	Sublette	181	46.93425522
8	Wyoming	Crook	1735	12.12468374
8	Wyoming	Albany	395	9.427146182
8	Wyoming	Lincoln	182	65.08240931
8	Wyoming	Fremont	137	52.45359101
8	Wyoming	Sublette	131	63.04140902
8	Wyoming	Big Horn	351	43.20834442
8	Wyoming	Albany	401	13.90713751
8	Wyoming	Albany	419	27.17532289
8	Wyoming	Teton	158	16.35453988
8	Wyoming	Crook	338	64.99509726
8	Wyoming	Fremont	104	67.51426148
8	Wyoming	Natrona	189	43.79266192
8	Wyoming	Campbell	1494	16.72567232
8	Wyoming	Carbon	109	59.333398270000004
